Customer Group,CustomerName,FactoryName,Order Value,Order Quantity,Margin
SportsPro Limited,SportsPro Limited,Yurteks Baski Ve Tekstil San.,834884,68383,78089
Sportswear Brands,Sportswear Brands S.R.L,Hornbill Apparel Limited,163226,16806,35035
Sportswear Brands,Sportswear Brands S.R.L,Incredible Fashions Limited,122260,12600,17265
Sportswear Brands,Sportswear Brands S.R.L,Mascot Ltd. DMCC,5200,1300,1170
Sportswear Brands,Sportswear Brands S.R.L,Mosharaf Apparels Studio Limited,254578,34438,52493
Sportswear Brands,Sportswear Brands S.R.L,Santic (Bangladesh) Co. Ltd.,43060,3200,2970
Sportup SRL,Sportup SRL,Mosharaf Apparels Studio Limited,525865,104808,70957
Sportup SRL,Sportup SRL,OMC FOOTWEAR LIMITED,118515,18990,17570
Sportup SRL,Sportup SRL,Tech Max Limited,5600,2000,1520
Squared Circle,Squared Circle,,5050,92,0
Startex APS,Startex APS,Alliance Knit Composite Ltd.,589080,112778,72114
The Levy Group,The Levy Group Canada Apparel ULC,South End Sweater Co.Ltd,31840,3200,5184
The Levy Group,The Levy Group Inc,,8082,979,0
The Levy Group,The Levy Group Inc,Sakthi Infra Tex Private Ltd,103793,6856,30327
Tottus,Hipermercados Tottus S.A.,Apparels Village Limited,330593,84099,52297
Tottus,Hipermercados Tottus S.A.,Bongo Stitches Ltd.,4722,1200,565
Tottus,Hipermercados Tottus S.A.,Lucky Star Apparels Ltd.,609879,160350,65802
Tottus,Hipermercados Tottus S.A.,Mamun Knitwear Ltd,900139,487661,97743
Tottus,Hipermercados Tottus S.A.,Pakiza Knit Composite Ltd.,315831,264854,39784
Tottus,Hipermercados Tottus S.A.,Sonia & Sweaters Limited,102298,25088,6377
Tottus,Hipermercados Tottus S.A.,W Apparels Ltd,879673,219545,90470
Tottus,Hipermercados Tottus S.A.,ZAS APPARELS (PVT.) LTD.,62265,17812,4323
Tottus,Hipermercados Tottus S.A.,Zon Ron Sweaters Ltd.,19014,4356,1444
Tottus,Hipermercados Tottus S.A. (Chile),Apparels Village Limited,37637,10740,6574
Tottus,Hipermercados Tottus S.A. (Chile),Lucky Star Apparels Ltd.,98598,26198,9906
Tottus,Hipermercados Tottus S.A. (Chile),Mamun Knitwear Ltd,169979,87680,16898
Tottus,Hipermercados Tottus S.A. (Chile),Pakiza Knit Composite Ltd.,70970,58870,8988
Tottus,Hipermercados Tottus S.A. (Chile),W Apparels Ltd,116755,30090,11527
Tottus,Hipermercados Tottus S.A. (Chile),ZAS APPARELS (PVT.) LTD.,25174,7752,2496
Trading Fashion Line S.A.,Trading Fashion Line S.A.,N.A.Z Bangladesh Limited,172630,89638,20101
Truworths,Int. Sourcing Dept Truworths,RBSR Fashions Ltd,52731,23250,8236
Truworths,Int. Sourcing Dept Truworths,South End Sweater Co.Ltd,22888,3480,2582
Truworths,Truworths Ltd.,AJ Fashions Ltd,72460,13900,6020
Truworths,Truworths Ltd.,CTC International,7174,1464,586
Truworths,Truworths Ltd.,Dignity Innovations,20748,3990,2394
Truworths,Truworths Ltd.,NVS Garments,45943,13730,7078
Truworths,Truworths Ltd.,Singla Home Fashion,8320,960,960
Truworths,Truworths Ltd.,Trendline Exports,5000,2000,600
Unipro,Asia Trading,Echoknits Ltd.,128990,12840,21218
Unipro,Unipro International (NJ),Echoknits Ltd.,65641,6456,8203
WIP INC,WIP INC,,14700,1500,0
WIP INC,WIP INC,Graphics Textiles Ltd.,417970,119112,55078
WIP INC,WIP INC,Mitali Fashions Ltd.,73900,8300,5605
WIP INC,WIP Work In Progress Ltd,Mitali Fashions Ltd.,179741,19440,8771
Xtend BV,Xtend BV,Teks-Team Gida Nakl.Temizlik San.Tic. LTD. STI,58372,3370,9099
